CarType,Year,Color,Miles
Convertible,2018,Yellow,162861
Convertible,2006,Red,92385
Sedan,1981,Red,120114
Sedan,1981,Blue,21174
Sedan,1993,Purple,129154
Sedan,2015,Brown,52034
Sedan,2012,White,134384
Sedan,1990,Red,60649
Sedan,1980,Pink,27920
Sedan,2016,Yellow,25577
Sedan,2014,Orange,209144
Sedan,1982,Red,95217
Hatchback,2015,Red,142921
Convertible,1975,Yellow,143077
Sedan,2000,Brown,150801
Convertible,2015,White,25153
Convertible,1983,Orange,197874
Hatchback,1988,Purple,213419
Hatchback,2007,Red,199903
Convertible,1997,Pink,141099
Sedan,1997,Orange,76396
Sedan,2020,White,78624
Hatchback,2018,Green,61416
Convertible,1985,Purple,241647
Convertible,2001,White,183721
Hatchback,1985,Green,16793
Hatchback,1983,Black,36673
Convertible,2011,Red,72023
Hatchback,2022,Black,206537
Convertible,1979,White,148230
Sedan,1974,Pink,211400
Sedan,2009,Brown,236443
Hatchback,2013,Green,222678
Convertible,2010,Red,96742
Sedan,1992,Orange,24097
Hatchback,1977,Yellow,155940
Sedan,2002,Blue,181793
Hatchback,1989,Orange,22802
Hatchback,1981,Green,80164
Hatchback,1991,Orange,211789
Sedan,1975,Red,94168
Hatchback,1979,Black,167722
Convertible,1974,Black,24708
Hatchback,1994,Orange,134998
Sedan,1983,Black,137634
Sedan,1979,Orange,138362
Hatchback,1989,Brown,201676
Sedan,1986,Black,93191
Convertible,1994,Green,156904
Sedan,2005,Purple,233650
Sedan,2003,Purple,174158
Hatchback,1994,Green,73354
Hatchback,1989,Black,126964
Sedan,1991,Blue,30530
Sedan,2018,Purple,21690
Convertible,1991,Red,99627
